LOC_PID,NAME,LOC_CODE,LOC_DESC,STATE_PID,ST_ABBREV,COUNT_BY_GOV_FM,COUNT_BY_GOV_OD,COUNT_BY_INTERNAL_MODEL,COUNT_BY_3RD_PARTY,COUNT_LOW_AAD,COUNT_MEDIUM_AAD,COUNT_HIGH_AAD,COUNT_LOW_FREQUENCY,COUNT_MEDIUM_FREQUENCY,COUNT_HIGH_FREQUENCY,TOTAL_AAD,RANK_AAD
TAS290,JUDBURY,G,GAZETTED LOCALITY,6,TAS,0,0,0,0,0,0,0,0,0,0,0,4537
QLD3232,WOOLSHED,G,GAZETTED LOCALITY,3,QLD,0,0,0,0,0,0,0,0,0,0,0,4537
NSW478,BONSHAW,G,GAZETTED LOCALITY,1,NSW,0,0,36,0,26,9,1,35,1,0,8000,3066
QLD2311,PALM COVE,G,GAZETTED LOCALITY,3,QLD,2881,0,0,0,2840,41,0,2840,41,0,12000,2803
QLD2322,PALMYRA,G,GAZETTED LOCALITY,3,QLD,0,0,0,0,0,0,0,0,0,0,0,4537
QLD2347,PECHEY,G,GAZETTED LOCALITY,3,QLD,0,0,34,0,34,0,0,34,0,0,0,4537
SA1051,PARHAM,G,GAZETTED LOCALITY,4,SA,0,0,0,222,0,0,0,0,0,0,10000,2924
VIC2312,SOUTH DUDLEY,G,GAZETTED LOCALITY,2,VIC,0,0,224,0,224,0,0,224,0,0,0,4537
VIC2328,SPRINGDALLAH,G,GAZETTED LOCALITY,2,VIC,0,0,0,0,0,0,0,0,0,0,0,4537
TAS258,HAMILTON,G,GAZETTED LOCALITY,6,TAS,0,0,161,0,102,3,56,104,1,56,118000,1209
TAS262,HAVENVIEW,G,GAZETTED LOCALITY,6,TAS,0,0,357,0,357,0,0,357,0,0,0,4537
TAS309,LACKRANA,G,GAZETTED LOCALITY,6,TAS,0,0,0,0,0,0,0,0,0,0,0,4537
VIC1222,INDIGO VALLEY,G,GAZETTED LOCALITY,2,VIC,0,0,0,0,0,0,0,0,0,0,0,4537
VIC125,BAMAWM EXTENSION,G,GAZETTED LOCALITY,2,VIC,0,0,0,0,0,0,0,0,0,0,0,4537
VIC1289,KANGAROO GROUND,G,GAZETTED LOCALITY,2,VIC,0,0,0,0,0,0,0,0,0,0,0,4537
VIC1300,KARYRIE,G,GAZETTED LOCALITY,2,VIC,0,0,0,0,0,0,0,0,0,0,0,4537
VIC1301,KATAMATITE,G,GAZETTED LOCALITY,2,VIC,22,0,121,0,10,133,0,112,31,0,58000,1677
VIC2303,SMYTHES CREEK,G,GAZETTED LOCALITY,2,VIC,0,0,382,0,379,2,1,379,2,1,2000,3730
VIC2347,ST KILDA EAST,G,GAZETTED LOCALITY,2,VIC,0,0,8289,0,8289,0,0,8289,0,0,0,4537
QLD1356,HIDEAWAY BAY,G,GAZETTED LOCALITY,3,QLD,0,0,146,208,146,0,0,146,0,0,6000,3240
VIC2344,ST HELENS,G,GAZETTED LOCALITY,2,VIC,0,0,0,0,0,0,0,0,0,0,0,4537
VIC2352,STAGHORN FLAT,G,GAZETTED LOCALITY,2,VIC,0,0,0,0,0,0,0,0,0,0,0,4537
QLD3222,WOODWARK,G,GAZETTED LOCALITY,3,QLD,0,0,269,11,269,0,0,269,0,0,1000,3971
QLD3227,WOOLMAR,G,GAZETTED LOCALITY,3,QLD,0,0,0,0,0,0,0,0,0,0,0,4537
QLD324,BOOLBOONDA,G,GAZETTED LOCALITY,3,QLD,0,0,0,0,0,0,0,0,0,0,0,4537
SA1029,PADTHAWAY,G,GAZETTED LOCALITY,4,SA,0,0,138,0,130,0,8,130,0,8,77000,1476
SA1031,PAGES FLAT,G,GAZETTED LOCALITY,4,SA,0,0,0,0,0,0,0,0,0,0,0,4537
VIC1297,KARIAH,G,GAZETTED LOCALITY,2,VIC,0,0,0,0,0,0,0,0,0,0,0,4537
VIC1312,KEILOR LODGE,G,GAZETTED LOCALITY,2,VIC,0,0,610,0,610,0,0,610,0,0,0,4537
VIC2326,SPRING HILL,G,GAZETTED LOCALITY,2,VIC,0,0,0,0,0,0,0,0,0,0,0,4537
VIC2350,STACEYS BRIDGE,G,GAZETTED LOCALITY,2,VIC,0,0,0,0,0,0,0,0,0,0,0,4537
QLD323,BOOIE,G,GAZETTED LOCALITY,3,QLD,0,0,279,0,257,13,9,257,13,9,23000,2339
SA1024,OTTOWAY,G,GAZETTED LOCALITY,4,SA,0,0,1263,0,1263,0,0,1263,0,0,0,4537
SA1059,PARRAKIE,G,GAZETTED LOCALITY,4,SA,0,0,0,0,0,0,0,0,0,0,0,4537
VIC228,BETE BOLONG NORTH,G,GAZETTED LOCALITY,2,VIC,0,0,0,0,0,0,0,0,0,0,0,4537
VIC230,BETLEY,G,GAZETTED LOCALITY,2,VIC,0,0,0,0,0,0,0,0,0,0,0,4537
VIC232,BEVERFORD,G,GAZETTED LOCALITY,2,VIC,0,0,0,0,0,0,0,0,0,0,0,4537
VIC2348,ST KILDA WEST,G,GAZETTED LOCALITY,2,VIC,0,0,2496,0,2496,0,0,2496,0,0,0,4537
VIC2349,ST LEONARDS,G,GAZETTED LOCALITY,2,VIC,0,0,2980,0,2965,15,0,2940,38,2,7000,3147
VIC1076,GRAMPIANS,G,GAZETTED LOCALITY,2,VIC,0,0,0,0,0,0,0,0,0,0,0,4537
VIC1061,GOOROC,G,GAZETTED LOCALITY,2,VIC,0,0,0,0,0,0,0,0,0,0,0,4537
VIC1066,GOROKE,G,GAZETTED LOCALITY,2,VIC,0,0,220,0,220,0,0,220,0,0,0,4537
VIC1082,GRASS FLAT,G,GAZETTED LOCALITY,2,VIC,0,0,0,0,0,0,0,0,0,0,0,4537
VIC1256,JEFFCOTT,G,GAZETTED LOCALITY,2,VIC,0,0,0,0,0,0,0,0,0,0,0,4537
VIC1309,KEILOR,G,GAZETTED LOCALITY,2,VIC,0,0,2491,0,2487,3,1,2488,2,1,26000,2244
VIC1314,KEILOR PARK,G,GAZETTED LOCALITY,2,VIC,0,0,1217,0,1217,0,0,1217,0,0,0,4537
VIC2331,SPRINGHURST,G,GAZETTED LOCALITY,2,VIC,0,0,85,0,65,17,3,82,3,0,8000,3066
VIC2322,SPEED,G,GAZETTED LOCALITY,2,VIC,0,0,0,42,0,0,0,0,0,0,0,4537
QLD3255,WROTHAM,G,GAZETTED LOCALITY,3,QLD,0,0,0,0,0,0,0,0,0,0,0,4537
QLD3264,WUTUL,G,GAZETTED LOCALITY,3,QLD,0,0,0,0,0,0,0,0,0,0,0,4537
NSW481,BOOK BOOK,G,GAZETTED LOCALITY,1,NSW,0,0,0,0,0,0,0,0,0,0,0,4537
NSW490,BOOMANOOMANA,G,GAZETTED LOCALITY,1,NSW,0,0,0,0,0,0,0,0,0,0,0,4537
QLD2330,PARKINSON,G,GAZETTED LOCALITY,3,QLD,0,0,4097,0,4094,0,3,4094,1,2,11000,2865
VIC1286,KANAGULK,G,GAZETTED LOCALITY,2,VIC,0,0,0,0,0,0,0,0,0,0,0,4537
VIC2287,SILVERLEAVES,G,GAZETTED LOCALITY,2,VIC,0,0,616,0,616,0,0,616,0,0,0,4537
VIC2291,SKENES CREEK,G,GAZETTED LOCALITY,2,VIC,0,0,363,0,363,0,0,363,0,0,0,4537
VIC2299,SMITHS BEACH,G,GAZETTED LOCALITY,2,VIC,0,0,643,0,643,0,0,643,0,0,0,4537
VIC234,BIG DESERT,G,GAZETTED LOCALITY,2,VIC,0,0,0,0,0,0,0,0,0,0,0,4537
VIC1085,GRAYS BRIDGE,G,GAZETTED LOCALITY,2,VIC,0,0,0,0,0,0,0,0,0,0,0,4537
QLD2331,PARKLANDS,G,GAZETTED LOCALITY,3,QLD,36,0,72,0,108,0,0,108,0,0,0,4537
VIC1105,GRITJURK,G,GAZETTED LOCALITY,2,VIC,0,0,0,0,0,0,0,0,0,0,0,4537
VIC2298,SMEATON,G,GAZETTED LOCALITY,2,VIC,11,0,94,0,91,11,3,91,14,0,18000,2521
QLD3233,WOOMBYE,G,GAZETTED LOCALITY,3,QLD,1079,0,0,0,1028,51,0,1028,51,0,21000,2404
QLD3236,WOONGARRA,G,GAZETTED LOCALITY,3,QLD,0,0,0,0,0,0,0,0,0,0,0,4537
QLD3257,WULGURU,G,GAZETTED LOCALITY,3,QLD,0,0,2201,0,2201,0,0,2201,0,0,0,4537
VIC1092,GREEN GULLY,G,GAZETTED LOCALITY,2,VIC,0,0,0,0,0,0,0,0,0,0,0,4537
