LGA_PID,LGA_NAME,STATE_PID,ST_ABBREV,COUNT_BY_GOV_FM,COUNT_BY_GOV_OD,COUNT_BY_INTERNAL_MODEL,COUNT_BY_3RD_PARTY,COUNT_LOW_AAD,COUNT_MEDIUM_AAD,COUNT_HIGH_AAD,COUNT_LOW_FREQUENCY,COUNT_MEDIUM_FREQUENCY,COUNT_HIGH_FREQUENCY,TOTAL_AAD,RANK_AAD
WA373,CITY OF SUBIACO,5,WA,0,1238,8903,0,10141,0,0,10141,0,0,1000,480
WA396,SHIRE OF WICKEPIN,5,WA,0,0,303,0,303,0,0,303,0,0,0,497
QLD315,YARRABAH ABORIGINAL SHIRE,3,QLD,0,0,0,491,0,0,0,0,0,0,1000,480
QLD7,BANANA SHIRE,3,QLD,19,0,0,6080,0,19,0,0,19,0,1088000,164
SA102,CITY OF WEST TORRENS,4,SA,0,0,10415,21380,9283,736,396,9234,395,786,3547000,66
SA67,UIA RIVERLAND,4,SA,0,0,0,0,0,0,0,0,0,0,0,497
SA79,PORT AUGUSTA CITY COUNCIL,4,SA,0,0,0,7752,0,0,0,0,0,0,261000,292
TAS64,BREAK O'DAY COUNCIL,6,TAS,0,0,5031,0,4118,708,205,4118,708,205,896000,188
VIC115,YARRA CITY,2,VIC,0,0,40895,0,40879,7,9,40885,1,9,70000,374
VIC143,BULOKE SHIRE,2,VIC,670,0,795,1840,652,776,37,712,753,0,697000,212
VIC146,LODDON SHIRE,2,VIC,247,0,2644,0,1806,925,160,2116,775,0,616000,223
VIC152,HINDMARSH SHIRE,2,VIC,392,222,0,2141,279,113,222,280,334,0,443000,244
VIC88,FRANKSTON CITY,2,VIC,0,0,64243,0,60995,1769,1479,61275,1216,1752,4388000,57
VIC92,SOUTH GIPPSLAND SHIRE,2,VIC,103,0,13563,1,13411,245,10,13533,133,0,133000,343
WA333,SHIRE OF YILGARN,5,WA,0,0,1160,0,1159,0,1,1158,1,1,8000,447
WA359,SHIRE OF KATANNING,5,WA,0,0,0,1875,0,0,0,0,0,0,3000,463
WA390,SHIRE OF WILUNA,5,WA,0,0,0,538,0,0,0,0,0,0,0,497
WA397,SHIRE OF CHITTERING,5,WA,0,0,1743,0,1736,5,2,1736,0,7,10000,443
VIC129,YARRA RANGES SHIRE,2,VIC,0,0,60107,0,59890,136,81,59877,49,181,296000,278
VIC157,MOUNT HOTHAM ALPINE RESORT (UNINCORPORATED),2,VIC,0,0,677,0,677,0,0,677,0,0,0,497
VIC163,BALLARAT CITY,2,VIC,0,0,48149,0,47668,249,232,47661,180,308,851000,190
VIC166,NORTHERN GRAMPIANS SHIRE,2,VIC,308,0,5674,0,5584,397,1,5662,320,0,245000,295
WA286,SHIRE OF NAREMBEEN,5,WA,0,0,321,0,321,0,0,321,0,0,0,497
WA364,SHIRE OF HARVEY,5,WA,4620,0,867,5844,4929,465,93,4930,464,93,779000,199
WA381,SHIRE OF MERREDIN,5,WA,0,0,2072,0,1909,137,26,1890,47,135,93000,361
WA406,SHIRE OF MOUNT MARSHALL,5,WA,0,0,453,0,453,0,0,453,0,0,0,497
QLD63,GOLD COAST CITY,3,QLD,1429,0,50992,262938,45474,4833,2114,48057,3202,1162,17655000,17
SA108,ALEXANDRINA COUNCIL,4,SA,0,0,0,16019,0,0,0,0,0,0,1106000,163
SA119,KINGSTON DC,4,SA,0,0,1745,2,1603,96,46,1600,52,93,179000,321
TAS71,DORSET COUNCIL,6,TAS,0,0,3591,0,3292,193,106,3292,193,106,357000,260
VIC173,BASS COAST SHIRE,2,VIC,1,0,31053,7,31005,48,1,31041,12,1,12000,437
VIC176,MELTON CITY,2,VIC,0,0,47365,0,46635,550,180,46737,233,395,664000,217
WA311,CITY OF COCKBURN,5,WA,0,0,47272,72,44615,570,2087,45099,383,1790,22374000,12
WA312,CITY OF MELVILLE,5,WA,0,38603,9401,0,47906,44,54,47943,24,37,422000,249
WA315,SHIRE OF SERPENTINE-JARRAHDALE,5,WA,0,1133,9987,0,10981,99,40,10962,36,122,342000,264
WA347,SHIRE OF BOYUP BROOK,5,WA,0,0,80,474,59,17,4,59,17,4,63000,382
WA348,SHIRE OF KOJONUP,5,WA,0,0,51,875,29,19,3,29,19,3,35000,409
WA384,SHIRE OF MORAWA,5,WA,0,0,0,450,0,0,0,0,0,0,3000,463
WA393,SHIRE OF UPPER GASCOYNE,5,WA,0,0,0,53,0,0,0,0,0,0,2000,467
WA409,SHIRE OF DOWERIN,5,WA,0,0,382,0,382,0,0,382,0,0,0,497
WA422,SHIRE OF BROOME,5,WA,0,0,0,7422,0,0,0,0,0,0,498000,235
WA376,TOWN OF COTTESLOE,5,WA,0,1311,2951,0,4262,0,0,4262,0,0,0,497
WA383,SHIRE OF MENZIES,5,WA,0,0,0,982,0,0,0,0,0,0,0,497
WA394,SHIRE OF MOUNT MAGNET,5,WA,0,0,0,511,0,0,0,0,0,0,0,497
WA407,SHIRE OF WILLIAMS,5,WA,0,0,429,0,413,8,8,413,2,14,47000,396
NSW176,BOMBALA COUNCIL,1,NSW,1096,0,1126,0,1935,122,165,2049,92,81,814000,195
NSW217,PENRITH CITY COUNCIL,1,NSW,25366,0,47575,1626,62482,6736,3723,69373,1938,1630,12883000,23
NSW287,CANTERBURY CITY COUNCIL,1,NSW,0,0,48746,16010,48515,199,32,48703,43,0,1655000,130
NT56,CENTRAL DESERT SHIRE,7,NT,0,0,0,576,0,0,0,0,0,0,60000,384
SA130,NORTHERN AREAS COUNCIL,4,SA,0,0,2351,0,1890,265,196,1880,110,361,555000,228
SA78,CITY OF PORT ADELAIDE ENFIELD,4,SA,0,0,63637,87,62908,461,268,62825,189,623,1128000,160
